intensification,mature,decay,residual
1981-05-10 02:00:00,1981-05-10 17:00:00,1981-05-11 00:00:00,1981-05-11 07:00:00
1981-05-10 16:00:00,1981-05-10 23:00:00,1981-05-11 06:00:00,1981-05-11 15:00:00
