intensification,mature,decay,residual
2016-01-03 22:00:00,2016-01-04 17:00:00,2016-01-04 23:00:00,2016-01-05 06:00:00
2016-01-04 16:00:00,2016-01-04 22:00:00,2016-01-05 05:00:00,2016-01-05 14:00:00
