intensification,mature,decay,residual
1991-03-05 22:00:00,1991-03-06 15:00:00,1991-03-06 22:00:00,1991-03-07 06:00:00
1991-03-06 14:00:00,1991-03-06 21:00:00,1991-03-07 05:00:00,1991-03-08 09:00:00
