intensification,mature,decay,residual
2011-09-04 06:00:00,2011-09-05 06:00:00,2011-09-05 21:00:00,2011-09-07 02:00:00
2011-09-05 05:00:00,2011-09-05 20:00:00,2011-09-07 01:00:00,2011-09-09 00:00:00
