incipient,intensification,mature,decay,intensification 2,mature 2,decay 2
1984-04-16 00:00:00,1984-04-16 17:00:00,1984-04-18 16:00:00,1984-04-19 10:00:00,1984-04-20 15:00:00,1984-04-23 19:00:00,1984-04-24 14:00:00
1984-04-16 16:00:00,1984-04-18 15:00:00,1984-04-19 09:00:00,1984-04-20 14:00:00,1984-04-23 18:00:00,1984-04-24 13:00:00,1984-04-25 19:00:00
