intensification,mature,decay,incipient
2011-07-07 11:00:00,2011-07-09 14:00:00,2011-07-10 13:00:00,2011-07-12 08:00:00
2011-07-09 13:00:00,2011-07-10 12:00:00,2011-07-12 07:00:00,2011-07-14 22:00:00
