incipient,intensification,mature,decay
2004-02-02 20:00:00,2004-02-03 20:00:00,2004-02-05 12:00:00,2004-02-05 21:00:00
2004-02-03 19:00:00,2004-02-05 11:00:00,2004-02-05 20:00:00,2004-02-06 06:00:00
