intensification,mature,decay,residual
1987-05-29 13:00:00,1987-05-30 11:00:00,1987-05-31 06:00:00,1987-06-01 19:00:00
1987-05-30 10:00:00,1987-05-31 05:00:00,1987-06-01 18:00:00,1987-06-03 14:00:00
