intensification,mature,decay,intensification 2,mature 2,decay 2
1989-06-18 17:00:00,1989-06-19 17:00:00,1989-06-20 12:00:00,1989-06-21 22:00:00,1989-06-23 06:00:00,1989-06-24 06:00:00
1989-06-19 16:00:00,1989-06-20 11:00:00,1989-06-21 21:00:00,1989-06-23 05:00:00,1989-06-24 05:00:00,1989-06-26 20:00:00
