intensification,incipient,intensification 2,mature,decay
1990-05-22 11:00:00,1990-05-23 04:00:00,1990-05-23 10:00:00,1990-05-24 01:00:00,1990-05-24 09:00:00
1990-05-23 03:00:00,1990-05-23 09:00:00,1990-05-24 00:00:00,1990-05-24 08:00:00,1990-05-24 23:00:00
