intensification,mature,decay,residual
2002-03-28 22:00:00,2002-03-30 02:00:00,2002-03-30 12:00:00,2002-03-31 03:00:00
2002-03-30 01:00:00,2002-03-30 11:00:00,2002-03-31 02:00:00,2002-04-01 01:00:00
