incipient,intensification,mature,decay
1999-08-10 20:00:00,1999-08-12 07:00:00,1999-08-13 02:00:00,1999-08-13 15:00:00
1999-08-12 06:00:00,1999-08-13 01:00:00,1999-08-13 14:00:00,1999-08-14 22:00:00
