intensification,mature,decay,intensification 2,mature 2,decay 2
2002-06-01 18:00:00,2002-06-02 12:00:00,2002-06-03 00:00:00,2002-06-03 19:00:00,2002-06-04 14:00:00,2002-06-05 01:00:00
2002-06-02 11:00:00,2002-06-02 23:00:00,2002-06-03 18:00:00,2002-06-04 13:00:00,2002-06-05 00:00:00,2002-06-05 23:00:00
