intensification,mature,decay,intensification 2,mature 2,decay 2,residual
2004-02-17 15:00:00,2004-02-19 14:00:00,2004-02-20 19:00:00,2004-02-22 21:00:00,2004-02-24 12:00:00,2004-02-25 07:00:00,2004-02-27 00:00:00
2004-02-19 13:00:00,2004-02-20 18:00:00,2004-02-22 20:00:00,2004-02-24 11:00:00,2004-02-25 06:00:00,2004-02-26 23:00:00,2004-02-27 14:00:00
