intensification,mature,decay,residual
1983-04-06 04:00:00,1983-04-07 10:00:00,1983-04-07 19:00:00,1983-04-08 07:00:00
1983-04-07 09:00:00,1983-04-07 18:00:00,1983-04-08 06:00:00,1983-04-10 00:00:00
