intensification,mature,decay,intensification 2,mature 2,decay 2
1997-03-11 01:00:00,1997-03-11 07:00:00,1997-03-11 12:00:00,1997-03-11 20:00:00,1997-03-12 09:00:00,1997-03-12 14:00:00
1997-03-11 06:00:00,1997-03-11 11:00:00,1997-03-11 19:00:00,1997-03-12 08:00:00,1997-03-12 13:00:00,1997-03-12 22:00:00
