intensification,mature,decay,incipient
1985-06-02 03:00:00,1985-06-02 16:00:00,1985-06-02 23:00:00,1985-06-03 13:00:00
1985-06-02 15:00:00,1985-06-02 22:00:00,1985-06-03 12:00:00,1985-06-04 07:00:00
