intensification,mature,decay,incipient
2018-08-23 22:00:00,2018-08-25 03:00:00,2018-08-26 05:00:00,2018-08-28 09:00:00
2018-08-25 02:00:00,2018-08-26 04:00:00,2018-08-28 08:00:00,2018-08-31 10:00:00
