incipient,intensification,mature,decay
1996-10-19 15:00:00,1996-10-20 17:00:00,1996-10-24 14:00:00,1996-10-26 07:00:00
1996-10-20 16:00:00,1996-10-24 13:00:00,1996-10-26 06:00:00,1996-10-29 21:00:00
