intensification,mature,decay,residual
2017-07-05 09:00:00,2017-07-05 18:00:00,2017-07-06 04:00:00,2017-07-07 01:00:00
2017-07-05 17:00:00,2017-07-06 03:00:00,2017-07-07 00:00:00,2017-07-08 17:00:00
