intensification,mature,decay,intensification 2,mature 2,decay 2
2006-02-11 20:00:00,2006-02-12 03:00:00,2006-02-12 10:00:00,2006-02-13 01:00:00,2006-02-13 13:00:00,2006-02-13 19:00:00
2006-02-12 02:00:00,2006-02-12 09:00:00,2006-02-13 00:00:00,2006-02-13 12:00:00,2006-02-13 18:00:00,2006-02-14 08:00:00
