intensification,mature,decay,residual
1983-08-05 13:00:00,1983-08-07 20:00:00,1983-08-08 17:00:00,1983-08-09 23:00:00
1983-08-07 19:00:00,1983-08-08 16:00:00,1983-08-09 22:00:00,1983-08-10 23:00:00
