intensification,mature,incipient,intensification 2,mature 2,decay
1997-12-19 20:00:00,1997-12-21 01:00:00,1997-12-21 10:00:00,1997-12-21 17:00:00,1997-12-22 21:00:00,1997-12-23 08:00:00
1997-12-21 00:00:00,1997-12-21 09:00:00,1997-12-21 16:00:00,1997-12-22 20:00:00,1997-12-23 07:00:00,1997-12-24 07:00:00
