intensification,decay,intensification 2,decay 2
2012-12-19 14:00:00,2012-12-19 23:00:00,2012-12-20 05:00:00,2012-12-20 13:00:00
2012-12-19 22:00:00,2012-12-20 04:00:00,2012-12-20 12:00:00,2012-12-20 20:00:00
