intensification,mature,decay,residual
2002-01-03 15:00:00,2002-01-05 21:00:00,2002-01-07 08:00:00,2002-01-10 07:00:00
2002-01-05 20:00:00,2002-01-07 07:00:00,2002-01-10 06:00:00,2002-01-14 02:00:00
