incipient,intensification,mature,decay
1992-02-02 10:00:00,1992-02-03 00:00:00,1992-02-03 06:00:00,1992-02-03 11:00:00
1992-02-02 23:00:00,1992-02-03 05:00:00,1992-02-03 10:00:00,1992-02-03 21:00:00
