intensification,mature,incipient,intensification 2,mature 2,decay
2004-11-28 12:00:00,2004-11-30 12:00:00,2004-12-01 00:00:00,2004-12-01 08:00:00,2004-12-02 05:00:00,2004-12-02 16:00:00
2004-11-30 11:00:00,2004-11-30 23:00:00,2004-12-01 07:00:00,2004-12-02 04:00:00,2004-12-02 15:00:00,2004-12-03 15:00:00
