intensification,mature,decay,residual
1984-07-03 09:00:00,1984-07-05 05:00:00,1984-07-07 10:00:00,1984-07-12 10:00:00
1984-07-05 04:00:00,1984-07-07 09:00:00,1984-07-12 09:00:00,1984-07-13 11:00:00
