incipient,intensification,mature,decay
2004-09-07 02:00:00,2004-09-10 09:00:00,2004-09-16 20:00:00,2004-09-18 10:00:00
2004-09-10 08:00:00,2004-09-16 19:00:00,2004-09-18 09:00:00,2004-09-21 06:00:00
