intensification,decay,intensification 2,decay 2
2017-01-01 01:00:00,2017-01-01 09:00:00,2017-01-01 16:00:00,2017-01-02 00:00:00
2017-01-01 08:00:00,2017-01-01 15:00:00,2017-01-01 23:00:00,2017-01-02 07:00:00
