intensification,mature,decay,incipient
1993-10-10 13:00:00,1993-10-11 11:00:00,1993-10-11 19:00:00,1993-10-12 06:00:00
1993-10-11 10:00:00,1993-10-11 18:00:00,1993-10-12 05:00:00,1993-10-12 22:00:00
