intensification,mature,decay,residual
2008-08-15 03:00:00,2008-08-15 15:00:00,2008-08-16 03:00:00,2008-08-17 02:00:00
2008-08-15 14:00:00,2008-08-16 02:00:00,2008-08-17 01:00:00,2008-08-18 01:00:00
