intensification,decay,intensification 2,mature,decay 2
2005-10-02 23:00:00,2005-10-03 14:00:00,2005-10-04 09:00:00,2005-10-06 06:00:00,2005-10-06 18:00:00
2005-10-03 13:00:00,2005-10-04 08:00:00,2005-10-06 05:00:00,2005-10-06 17:00:00,2005-10-07 09:00:00
