intensification,mature,decay,intensification 2,mature 2,decay 2
1984-03-06 00:00:00,1984-03-06 09:00:00,1984-03-06 15:00:00,1984-03-07 01:00:00,1984-03-07 09:00:00,1984-03-07 14:00:00
1984-03-06 08:00:00,1984-03-06 14:00:00,1984-03-07 00:00:00,1984-03-07 08:00:00,1984-03-07 13:00:00,1984-03-07 22:00:00
