intensification,mature,decay,incipient
2008-05-04 05:00:00,2008-05-04 14:00:00,2008-05-04 20:00:00,2008-05-05 08:00:00
2008-05-04 13:00:00,2008-05-04 19:00:00,2008-05-05 07:00:00,2008-05-06 02:00:00
