decay,intensification,decay 2,residual
2008-11-26 08:00:00,2008-11-26 19:00:00,2008-11-27 04:00:00,2008-11-27 13:00:00
2008-11-26 18:00:00,2008-11-27 03:00:00,2008-11-27 10:00:00,2008-11-27 17:00:00
