incipient,intensification,mature,decay
2017-11-19 00:00:00,2017-11-21 00:00:00,2017-11-22 03:00:00,2017-11-22 16:00:00
2017-11-20 23:00:00,2017-11-22 02:00:00,2017-11-22 15:00:00,2017-11-23 18:00:00
