intensification,incipient,intensification 2,mature,decay
2010-06-13 14:00:00,2010-06-14 17:00:00,2010-06-15 13:00:00,2010-06-19 00:00:00,2010-06-19 20:00:00
2010-06-14 16:00:00,2010-06-15 12:00:00,2010-06-18 23:00:00,2010-06-19 19:00:00,2010-06-21 04:00:00
