intensification,mature,decay,residual
2009-12-28 04:00:00,2010-01-01 13:00:00,2010-01-02 16:00:00,2010-01-03 19:00:00
2010-01-01 12:00:00,2010-01-02 15:00:00,2010-01-03 18:00:00,2010-01-08 12:00:00
