intensification,decay,intensification 2,decay 2
1991-10-22 01:00:00,1991-10-22 15:00:00,1991-10-22 21:00:00,1991-10-23 09:00:00
1991-10-22 10:00:00,1991-10-22 20:00:00,1991-10-23 04:00:00,1991-10-23 16:00:00
