incipient,intensification,mature,decay
2016-04-08 03:00:00,2016-04-09 10:00:00,2016-04-10 23:00:00,2016-04-11 15:00:00
2016-04-09 09:00:00,2016-04-10 22:00:00,2016-04-11 14:00:00,2016-04-12 23:00:00
