intensification,incipient,intensification 2,mature,decay
2019-05-24 11:00:00,2019-05-25 11:00:00,2019-05-25 17:00:00,2019-05-26 05:00:00,2019-05-26 12:00:00
2019-05-25 10:00:00,2019-05-25 16:00:00,2019-05-26 04:00:00,2019-05-26 11:00:00,2019-05-27 03:00:00
