intensification,mature,decay,residual
2012-04-28 10:00:00,2012-04-29 14:00:00,2012-04-30 02:00:00,2012-04-30 22:00:00
2012-04-29 13:00:00,2012-04-30 01:00:00,2012-04-30 21:00:00,2012-05-02 09:00:00
