intensification,mature,incipient,intensification 2,mature 2,decay
2000-12-21 13:00:00,2000-12-22 15:00:00,2000-12-23 02:00:00,2000-12-23 13:00:00,2000-12-25 00:00:00,2000-12-25 16:00:00
2000-12-22 14:00:00,2000-12-23 01:00:00,2000-12-23 12:00:00,2000-12-24 23:00:00,2000-12-25 15:00:00,2000-12-27 00:00:00
