incipient,intensification,mature,decay
1998-08-21 06:00:00,1998-08-21 13:00:00,1998-08-26 03:00:00,1998-08-27 06:00:00
1998-08-21 12:00:00,1998-08-26 02:00:00,1998-08-27 05:00:00,1998-08-27 20:00:00
