intensification,mature,incipient,intensification 2,mature 2,decay
1995-02-25 10:00:00,1995-02-28 15:00:00,1995-03-01 08:00:00,1995-03-01 23:00:00,1995-03-03 03:00:00,1995-03-04 02:00:00
1995-02-28 14:00:00,1995-03-01 07:00:00,1995-03-01 22:00:00,1995-03-03 02:00:00,1995-03-04 01:00:00,1995-03-06 06:00:00
