intensification,mature,incipient,intensification 2,mature 2,decay
1989-01-20 22:00:00,1989-01-22 01:00:00,1989-01-22 11:00:00,1989-01-22 18:00:00,1989-01-23 14:00:00,1989-01-24 03:00:00
1989-01-22 00:00:00,1989-01-22 10:00:00,1989-01-22 17:00:00,1989-01-23 13:00:00,1989-01-24 02:00:00,1989-01-25 11:00:00
