incipient,intensification,mature,residual
1981-03-07 14:00:00,1981-03-08 00:00:00,1981-03-08 20:00:00,1981-03-09 05:00:00
1981-03-07 23:00:00,1981-03-08 19:00:00,1981-03-09 01:00:00,1981-03-09 11:00:00
