intensification,mature,decay,incipient
2001-02-12 06:00:00,2001-02-13 07:00:00,2001-02-13 23:00:00,2001-02-15 05:00:00
2001-02-13 06:00:00,2001-02-13 22:00:00,2001-02-15 04:00:00,2001-02-16 09:00:00
