intensification,mature,decay,residual
1998-11-06 16:00:00,1998-11-11 05:00:00,1998-11-14 07:00:00,1998-11-19 17:00:00
1998-11-11 04:00:00,1998-11-14 06:00:00,1998-11-19 16:00:00,1998-11-23 09:00:00
