intensification,mature,decay,intensification 2,mature 2,decay 2
2004-06-15 04:00:00,2004-06-15 21:00:00,2004-06-16 08:00:00,2004-06-17 00:00:00,2004-06-18 05:00:00,2004-06-18 21:00:00
2004-06-15 20:00:00,2004-06-16 07:00:00,2004-06-16 23:00:00,2004-06-18 04:00:00,2004-06-18 20:00:00,2004-06-20 07:00:00
