intensification,mature,decay,intensification 2,mature 2,decay 2
1991-05-21 11:00:00,1991-05-22 06:00:00,1991-05-22 15:00:00,1991-05-23 03:00:00,1991-05-23 16:00:00,1991-05-24 00:00:00
1991-05-22 05:00:00,1991-05-22 14:00:00,1991-05-23 02:00:00,1991-05-23 15:00:00,1991-05-23 23:00:00,1991-05-24 15:00:00
