intensification,mature,decay,residual
1986-09-24 10:00:00,1986-09-25 11:00:00,1986-09-26 03:00:00,1986-09-27 06:00:00
1986-09-25 10:00:00,1986-09-26 02:00:00,1986-09-27 05:00:00,1986-09-29 17:00:00
