intensification,mature,decay,incipient
1981-11-18 02:00:00,1981-11-20 07:00:00,1981-11-21 10:00:00,1981-11-22 19:00:00
1981-11-20 06:00:00,1981-11-21 09:00:00,1981-11-22 18:00:00,1981-11-29 01:00:00
