intensification,mature,decay,incipient
2009-02-04 22:00:00,2009-02-06 09:00:00,2009-02-06 23:00:00,2009-02-07 15:00:00
2009-02-06 08:00:00,2009-02-06 22:00:00,2009-02-07 14:00:00,2009-02-10 09:00:00
