incipient,intensification,mature,decay
2001-05-31 03:00:00,2001-05-31 11:00:00,2001-06-03 06:00:00,2001-06-04 07:00:00
2001-05-31 10:00:00,2001-06-03 05:00:00,2001-06-04 06:00:00,2001-06-06 11:00:00
