intensification,incipient,intensification 2,mature,decay
1990-10-02 01:00:00,1990-10-02 13:00:00,1990-10-02 18:00:00,1990-10-03 10:00:00,1990-10-03 17:00:00
1990-10-02 12:00:00,1990-10-02 17:00:00,1990-10-03 09:00:00,1990-10-03 16:00:00,1990-10-04 07:00:00
