incipient,intensification,mature,decay
2002-04-09 00:00:00,2002-04-09 20:00:00,2002-04-11 04:00:00,2002-04-11 14:00:00
2002-04-09 19:00:00,2002-04-11 03:00:00,2002-04-11 13:00:00,2002-04-12 07:00:00
