intensification,mature,decay,residual
1984-02-04 02:00:00,1984-02-05 19:00:00,1984-02-06 19:00:00,1984-02-08 14:00:00
1984-02-05 18:00:00,1984-02-06 18:00:00,1984-02-08 13:00:00,1984-02-09 18:00:00
