incipient,intensification,mature,decay
2012-04-17 10:00:00,2012-04-19 22:00:00,2012-04-22 11:00:00,2012-04-23 07:00:00
2012-04-19 21:00:00,2012-04-22 10:00:00,2012-04-23 06:00:00,2012-04-27 15:00:00
