track_id,phase,Total Distance (km),Total Time (Hours),Mean Vorticity (−1 × 10−5 s−1),Mean Growth rate  (−1 × 10−2 s−1 day-1),Mean Speed (m/s),Region,Season
19790001,decay,2971.7774010299154,26.0,3.9798703703703704,-64.14218304843307,31.74975855801192,Total,Total
19790001,intensification,8975.754609350935,94.0,6.887443404255319,3.8459170606777033,26.524097545363286,Total,Total
19790002,decay,614.9844427947826,11.0,2.78917,-46.997053872053876,15.529910171585419,Total,Total
19790002,intensification,1011.7628793431321,19.0,1.9313615789473684,-72.73635477582846,14.791854961156902,Total,Total
19790003,decay,715.9492014707221,11.0,4.606280833333334,17.973484848484848,18.0795252896647,Total,Total
19790003,intensification,825.7628972932757,34.0,3.9314220588235296,-43.42116013071894,6.746428899454867,Total,Total
19790004,decay,1108.1488362078094,11.0,5.590233333333334,-46.485690235690306,27.983556469894175,Total,Total
19790004,intensification,4926.949481841319,74.0,3.88627,-44.213588588588586,18.49455511201696,Total,Total
19790005,decay,11.902391176090601,1.0,3.581965,-80.26620370370372,3.3062197711362784,Total,Total
19790005,intensification,1845.0905356248138,33.0,3.3519133333333335,-4.467592592592594,15.531065114686987,Total,Total
19790006,intensification,4989.027298303599,93.0,4.746043404255319,49.238724611708484,14.901515227908002,Total,Total
19790007,intensification,3267.5509172135708,60.0,4.4928642622950825,70.88792438271604,15.127550542655422,Total,Total
19790008,intensification,1875.3346830848895,25.0,1.7582546153846152,44.22546296296296,20.83705203427655,Total,Total
19790009,intensification,3012.5502816363746,32.0,3.226386060606061,-107.91883680555556,26.150610083649088,Total,Total
19790010,decay,1083.054983770393,15.0,2.8974693333333335,-101.83641975308642,20.056573773525795,Total,Total
19790010,intensification,4877.228192008099,75.0,3.927656578947368,37.138888888888886,18.06380811854851,Total,Total
19790011,intensification,2824.342978110708,32.0,2.4414503030303027,0.6325954861111113,24.51686612943323,Total,Total
19790012,intensification,1000.8054347444291,30.0,1.926596129032258,44.096450617283956,9.266716988374345,Total,Total
19790013,decay,579.3041764953064,5.0,3.125286,-179.56712962962956,32.18356536085036,Total,Total
19790013,intensification,1336.2835612085987,25.0,4.030441538461538,-5.802777777777778,14.847595124539987,Total,Total
19790014,decay,594.4873362142375,7.0,3.35868,-328.41269841269855,23.590767310088793,Total,Total
19790014,intensification,1521.086564579345,23.0,5.0582770833333335,26.472423510467,18.37061068332542,Total,Total
19790015,decay,5127.3669550946615,88.0,3.9834045454545457,-49.231770833333336,16.18487043906143,Total,Total
19790015,intensification,2614.254322731423,19.0,3.9924820000000003,108.14327485380116,38.220092437593905,Total,Total
19790016,decay,7271.726522456195,108.0,2.325987962962963,-0.03279320987654388,18.70300031495935,Total,Total
19790016,incipient,187.8470115896619,1.0,1.48366,-49.120370370370416,52.17972544157275,Total,Total
19790016,intensification,574.8431276459769,6.0,1.32719,16.267361111111157,26.61310776138782,Total,Total
19790017,decay,7536.644980078291,107.0,7.7489367592592595,-27.450458636206296,19.565537331459737,Total,Total
19790017,incipient,21.01999575838364,1.0,3.45484,-339.91898148148175,5.838887710662123,Total,Total
19790017,intensification,342.08009083723925,7.0,2.703097142857143,-222.85548941798945,13.574606779255527,Total,Total
19790018,decay,3199.848495585402,25.0,1.8869069230769229,-2.233333333333326,35.55387217317113,Total,Total
19790019,decay,3722.195688434401,24.0,3.0556512,12.495177469135808,43.0809686161389,Total,Total
19790020,decay,979.5478434209291,23.0,1.4018583333333332,8.247282608695658,11.830287964020885,Total,Total
19790021,decay,3525.224005608993,45.0,2.400188260869565,11.143261316872431,21.760642009932056,Total,Total
19790022,decay,4558.307709524758,71.0,4.2585033333333335,-3.401310641627543,17.833754732099994,Total,Total
19790022,incipient,158.25447865128731,1.0,3.57509,428.5416666666667,43.95957740313537,Total,Total
19790022,intensification,982.2083059399775,9.0,3.370813333333333,-43.98148148148149,30.315071170986965,Total,Total
19790022,mature,284.00862015927584,2.0,3.171195,-46.49884259259242,39.445641688788314,Total,Total
19790023,decay,1956.0788822103298,50.0,2.5021013725490193,-23.809027777777782,10.8671049011685,Total,Total
19790024,decay,4372.603496178627,45.0,2.515165217391304,-10.038837448559669,26.99137960604091,Total,Total
19790025,decay,1778.7181624588675,49.0,4.0396402,116.5625,10.083436295118297,Total,Total
19790026,decay,8304.14736294507,99.0,5.1969045000000005,33.12277871305648,23.300076775940152,Total,Total
19790026,incipient,748.0113561726989,12.0,4.863595833333333,-25.670331790123424,17.315077689182846,Total,Total
19790026,intensification,1349.8672379889033,13.0,5.985842307692308,31.216168091168107,28.843317051044945,Total,Total
19790026,mature,381.81857407168354,3.0,6.937036666666667,-55.58256172839512,35.35357167330403,Total,Total
19790027,decay,669.1832422194952,23.0,2.0831283333333332,11.017512077294693,8.081923215211296,Total,Total
19790028,decay,992.7779519771613,11.0,3.8784663636363637,13.557449494949486,25.07015030245357,Total,Total
19790028,incipient,0.0,0.0,3.59132,,,Total,Total
19790028,intensification,531.5395247779492,9.0,3.7427666666666664,66.35931069958848,16.40554088820831,Total,Total
19790028,mature,192.61296701915703,3.0,4.09358,-188.97762345679013,17.834533983255284,Total,Total
19790029,decay,2326.791887576297,29.0,2.548997931034483,-81.04206577266922,22.2872786166312,Total,Total
19790029,mature,0.0,0.0,3.19284,,,Total,Total
19790030,decay,1129.6775848516527,23.0,1.4359126086956522,-3.264895330112713,13.643449092411265,Total,Total
19790030,mature,0.0,0.0,1.16922,,,Total,Total
19790031,decay,1711.0899495662811,49.0,5.0296028,-50.82152305366591,9.700056403436967,Total,Total
