,track_id,phase,Total Time (h),Mean Speed (m/s)_x,Mean Speed (m/s)_y,Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km)
0,19870997,decay,9.0,9.697463895384466,9.697463895384466,314.1978302104567,4.542291111111111,-2.1648533333333333,273.7173939811373
1,19870997,incipient,4.0,20.417077279042505,20.417077279042505,294.00591281821204,3.907494,2.5515599999999985,1970.5144098247536
2,19870997,intensification,40.0,12.79886846399441,12.79886846399441,1843.037058815195,3.8304254999999996,-0.3340619999999996,1507.6169169108805
3,19870997,mature,7.0,13.084868767895697,13.084868767895697,329.7386929509716,4.806852857142857,0.3639428571428555,284.61359050151
4,19871002,decay,118.0,13.766108529636417,13.766108529636417,5847.84290338955,4.568595423728813,-1.1485850847457628,5939.490312971718
5,19871002,intensification,28.0,10.977572549270084,10.977572549270084,1106.5393129664244,4.6774534482758625,2.4252428571428575,4897.810031506102
6,19871002,mature,30.0,9.005214956365274,9.005214956365274,972.5632152874496,5.757782333333334,0.6425280000000001,5083.241383639859
7,19871003,decay,5.0,25.252383193226013,25.252383193226013,454.5428974780682,2.725666,1.4036639999999998,368.65897821757346
8,19871003,intensification,5.0,23.1311900384774,23.1311900384774,416.3614206925932,1.5607499999999999,3.530736,367.283036327195
9,19871003,mature,16.0,20.944351639875165,20.944351639875165,1206.3946544568096,2.192595625,0.9332100000000002,1119.7123340404116
10,19871005,decay,42.0,9.249124739586165,9.249124739586165,1398.4676606254282,3.507976666666667,0.3564742857142859,1140.3651021529577
11,19871005,intensification,2.0,12.532863870324023,12.532863870324023,90.23661986633299,3.5991366666666664,1.790040000000003,89.69787520940883
12,19871005,mature,16.0,8.165483712598967,8.165483712598967,470.3318618457005,3.431324375,-1.1343450000000006,310.74144140784153
13,19871006,decay,87.0,14.077807700611464,14.077807700611464,4409.169371831511,7.796135517241379,1.3413213793103447,4090.000828784418
14,19871006,intensification,25.0,7.155056356179242,7.155056356179242,643.9550720561318,5.8736788461538465,-2.6759616,5796.62742581059
15,19871006,mature,19.0,25.71925266685775,25.71925266685775,1759.1968824130702,2.5570847368421052,0.7374442105263161,5843.877987526567
16,19871007,decay,68.0,17.257342082143325,17.257342082143325,4224.597341708686,2.592123088235294,-0.3107470588235295,3881.982825563864
17,19871007,mature,5.0,29.16275432146073,29.16275432146073,524.9295777862933,3.6270683333333333,-2.2972800000000007,523.6185632100714
18,19871010,decay,59.0,11.943172609752999,11.943172609752999,2536.729862311537,5.689359499999999,0.9580718644067797,2223.0879425201824
19,19871011,decay,58.0,16.03480444707762,16.03480444707762,3348.067168549807,4.773227796610169,0.9242648275862069,2890.12466558734
20,19871011,intensification,18.0,12.897345404972015,12.897345404972015,835.7479822421866,5.266493333333333,-1.2212266666666665,756.6512489538636
21,19871013,decay,22.0,8.332679610771123,8.332679610771123,659.948225173073,4.18342,2.203101818181818,641.050300230688
22,19871013,intensification,23.0,3.864111816650983,3.864111816650983,319.9484584187014,4.112841739130435,-1.6668104347826087,181.56609586579108
23,19871013,mature,4.0,9.807907027758983,9.807907027758983,141.23386119972935,3.3290949999999997,1.3242599999999998,103.24676685818676
24,19871014,decay,17.0,17.2726832044488,17.2726832044488,1057.0882121122665,2.391324444444445,-0.3020470588235289,1032.4099163641827
25,19871014,intensification,11.0,22.633166516518347,22.633166516518347,896.2733940541266,2.31259,-0.03373090909090916,785.0905706867636
26,19871016,decay,45.0,25.78628086074333,25.78628086074333,4177.377499440418,4.465340434782609,0.5599253333333337,5500.786702696971
27,19871016,intensification,23.0,20.729905652882145,20.729905652882145,1716.4361880586418,4.224185217391304,0.540093913043478,1573.6420846206945
28,19871016,mature,14.0,21.597654803323543,21.597654803323543,1088.5218020875066,4.5317678571428575,0.6964799999999995,928.5297982102007
29,19871017,decay,75.0,8.106328112761462,8.106328112761462,2188.708590445595,5.6780596,-1.6646528,1900.9596575003682
30,19871017,intensification,22.0,14.139767447608854,14.139767447608854,1119.8695818506214,7.449946086956522,3.172330909090908,1081.038901272824
31,19871017,mature,14.0,15.990796846075474,15.990796846075474,805.9361610422039,8.106780714285714,-2.21910857142857,743.1443304181456
32,19871018,decay,18.0,31.549791619237894,31.549791619237894,2044.4264969266155,5.8604988888888885,-0.5693599999999996,1918.4372781252312
33,19871018,intensification,0.0,,,0.0,4.23748,,0.0
34,19871018,mature,14.0,20.37857572309968,20.37857572309968,1027.0802164442237,5.514470714285714,3.0897942857142864,968.8110054978101
35,19871020,decay,90.0,7.921240918526994,7.921240918526994,2566.482057602746,4.077912527472527,0.49656000000000006,2166.3083543518705
36,19871020,incipient,12.0,13.59629350359507,13.59629350359507,587.359879355307,3.9810258333333333,-2.0773199999999994,2389.5119511486296
37,19871020,intensification,39.0,12.07964953233421,12.07964953233421,1695.9827943397231,3.7495733333333336,-0.5416123076923078,2506.283400524301
38,19871020,mature,3.0,10.505870417082228,10.505870417082228,113.46340050448806,3.754376666666667,0.6955199999999984,73.01059491984802
39,19871020,residual,6.0,18.400739296045113,18.400739296045113,397.45596879457446,3.8221600000000002,2.15484,319.32121504770305
40,19871022,decay,31.0,16.415444715228542,16.415444715228542,1831.9636302195051,2.849515,-0.9424335483870967,990.4457583789742
41,19871023,decay,57.0,8.795147014594358,8.795147014594358,1804.7641673947624,1.623628275862069,-0.0838357894736843,1174.5805765115915
42,19871023,incipient,4.0,5.189721086530979,5.189721086530979,74.7319836460461,1.89114,1.1227800000000001,48.70543146011856
43,19871023,intensification,13.0,7.8481279645875635,7.8481279645875635,367.292388742698,1.9908546153846154,-0.5390215384615382,173.63848618715872
44,19871023,mature,3.0,4.931557042180573,4.931557042180573,53.26081605555018,1.69694,-0.511520000000001,16.47797538075313
45,19871024,decay,46.0,20.945211651106327,20.945211651106327,3468.5270494232077,1.778248510638298,0.16160347826086952,3350.07501099044
46,19871025,decay,30.0,28.999118838775434,28.999118838775434,3131.9048345877472,2.032328064516129,-1.04956,3051.9501752189963
47,19871028,decay,60.0,16.338668909710627,16.338668909710627,3529.152484497495,4.317491639344262,0.546756,8217.362610985754
48,19871028,incipient,12.0,21.39750896958121,21.39750896958121,924.3723874859082,4.6151100000000005,0.07675999999999839,2020.6411520949512
49,19871028,intensification,69.0,18.12783714277766,18.12783714277766,4502.954746265971,5.251545217391305,0.3344243478260871,4120.409754872052
50,19871028,intensification 2,44.0,9.60443448853793,9.60443448853793,1521.3424229844081,3.9945911363636366,-0.7467163636363634,551.1077363236107
