,track_id,phase,Total Time (h),Mean Speed (m/s)_x,Mean Speed (m/s)_y,Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km)
0,20160275,decay,17.0,12.48428439873148,12.48428439873148,764.0382052023666,9.32726411764706,-3.601200000000001,1337.0698855823166
1,20160275,incipient,19.0,18.356790897979547,18.356790897979547,1255.604497421801,4.359794,-1.4669305263157906,3936.3033117953682
2,20160275,intensification,36.0,24.09030486812999,24.09030486812999,3122.1035109096465,7.001853611111112,2.625166666666667,3756.009161737057
3,20160275,mature,10.0,19.364804828315034,19.364804828315034,697.1329738193411,9.510613,-0.3927599999999992,1457.3455168901412
4,20160277,decay,17.0,3.8183308995636964,3.8183308995636964,233.6818510532982,3.328277058823529,-0.9418870588235301,297.9805424598525
5,20160277,incipient,11.0,5.590836173262062,5.590836173262062,221.39711246117764,2.15526,-0.3161454545454547,909.6079924782526
6,20160277,intensification,32.0,8.10154353375137,8.10154353375137,933.2978150881578,2.5886848484848484,1.31406,847.4746000806799
7,20160277,mature,10.0,3.98958969471713,3.98958969471713,143.62522900981668,3.491915,-0.7192799999999991,283.7269100713855
8,20160278,decay,10.0,23.457592721948572,23.457592721948572,844.4733379901486,3.095224,-1.2034560000000003,638.9507745254216
9,20160278,incipient,4.0,22.77535542300778,22.77535542300778,327.9651180913121,2.16721,1.9536000000000007,328.19961621999266
10,20160278,intensification,16.0,23.03246519206396,23.03246519206396,1326.6699950628843,2.79779375,1.11057,1236.8049861447048
11,20160278,mature,5.0,25.556699418771526,25.556699418771526,460.0205895378875,3.220446,1.7558399999999985,359.721479319462
12,20160281,decay,12.0,15.780362399685602,15.780362399685602,681.711655666418,3.0478166666666664,-1.28022,1330.168192289024
13,20160281,intensification,19.0,25.78771237381212,25.78771237381212,1763.8795263687489,3.072909,0.8969431578947374,1955.6167948959164
14,20160281,mature,10.0,19.30580605577118,19.30580605577118,695.0090180077625,3.454512,0.42350399999999916,1421.902862675275
15,20160282,decay,17.0,27.074466420529696,27.074466420529696,1656.9573449364175,2.392440588235294,0.3841270588235287,2589.3536750495364
16,20160282,incipient,16.0,21.663609492573237,21.663609492573237,1247.8239067722184,2.21531125,-0.3062999999999996,751.6463896978443
17,20160282,intensification,5.0,28.065489812129478,28.065489812129478,505.17881661833064,2.5753880000000002,0.23678399999999938,388.360744248279
18,20160282,mature,6.0,27.522769076479364,27.522769076479364,594.4918120519543,2.3893342857142854,-0.033759999999997355,2100.127226181899
19,20160284,decay,7.0,7.762171359069925,7.762171359069925,195.60671824856212,2.7531185714285717,-1.8683657142857144,124.01040056410879
20,20160284,incipient,21.0,11.004391621747972,11.004391621747972,831.9320066041467,3.2117638095238097,1.7783657142857137,521.2106254616076
21,20160284,intensification,28.0,25.838202597892458,25.838202597892458,2604.4908218675596,3.508924827586207,-0.9035914285714284,3034.0389820629466
22,20160284,mature,5.0,10.753616390886672,10.753616390886672,193.56509503596007,3.2328919999999997,-1.7712959999999995,148.36422703075542
23,20160285,decay,7.0,13.31137282600123,13.31137282600123,335.446595215231,1.3474542857142857,1.5448800000000003,270.8291174460002
24,20160285,incipient,12.0,25.48240407939218,25.48240407939218,1100.839856229742,1.4939941666666667,-0.34862,1004.0351734683328
25,20160285,intensification,3.0,11.82074693361782,11.82074693361782,127.66406688307245,1.52934,-1.4508800000000015,125.29314508745902
26,20160285,mature,5.0,21.73977402702234,21.73977402702234,391.31593248640206,1.232264,-1.5699359999999998,326.1502578779538
27,20160287,decay,1.0,22.10563826328772,22.10563826328772,79.5802977478358,3.757095,3.475919999999995,79.71931122740884
28,20160287,incipient,21.0,23.451858805158054,23.451858805158054,1772.960525669949,4.836468095238096,1.2309828571428574,1587.986464366246
29,20160287,intensification,13.0,28.248198792730303,28.248198792730303,1322.0157034997783,4.016792307692308,-3.7590276923076926,1215.2811404447175
30,20160288,decay,78.0,6.057552687051744,6.057552687051744,1700.9607945241296,3.269804487179487,-1.287756923076923,611.7350833989333
31,20160288,incipient,20.0,16.337800540531212,16.337800540531212,1176.3216389182476,3.281889523809524,1.6689599999999996,749.5440068512081
32,20160288,intensification,53.0,7.896582489674394,7.896582489674394,1506.6679390298743,3.938367547169811,1.0717947169811322,1114.235687951516
33,20160288,mature,22.0,9.263670952979377,9.263670952979377,733.6827394759667,6.464007727272727,0.15705818181818126,670.8152893027031
34,20160289,decay,81.0,17.41855499473888,17.41855499473888,5079.250636465857,7.973742469135803,-1.0778014814814814,3946.605443821403
35,20160289,incipient,23.0,21.33374270921486,21.33374270921486,1766.4338963229904,2.8296887500000003,1.6640869565217395,6723.858663723302
36,20160289,intensification,67.0,14.998640190637957,14.998640190637957,3617.6720139818754,6.834694328358209,2.1504931343283578,6716.948501665993
37,20160289,mature,32.0,12.495422127913116,12.495422127913116,1439.472629135591,6.8552259375,-1.598175,3709.077773679072
38,20160291,decay,107.0,11.827964011913009,11.827964011913009,4556.131737388891,5.916560373831776,-0.8284216822429906,5062.2547204516595
39,20160291,incipient,13.0,15.86673070597562,15.86673070597562,742.562997039659,7.909745384615385,2.2769723076923083,677.6817166444342
40,20160291,intensification,72.0,13.425727128833007,13.425727128833007,3479.9484717935156,5.574519589041096,1.6540300000000001,6157.806741879515
41,20160291,mature,38.0,14.839251338161803,14.839251338161803,2030.0095830605344,6.335436052631579,0.44603368421052636,5400.671975684902
42,20160293,intensification,20.0,24.43087802937255,24.43087802937255,1759.0232181148237,3.0930842857142857,1.2110159999999996,1694.6068020737468
