track_id,phase,Total Distance (km),Total Time (Hours),Mean Vorticity (−1 × 10−5 s−1),Mean Growth rate (−1 × 10^−2 s−1 day-1),Mean Speed (m/s),Region,Season
20061195,decay,314.4062975065506,14.0,3.7205842857142857,-66.77083333333331,6.238220188622035,Total,Total
20061195,incipient,222.29941360820746,13.0,5.982416153846154,-133.13390313390303,4.749987470260844,Total,Total
20061195,intensification,794.3618612107815,36.0,4.542478888888889,-126.46476337448563,6.129335348848623,Total,Total
20061195,mature,26.066542580432596,3.0,4.13739,-21.39660493827163,2.4135687574474627,Total,Total
20061197,decay,219.8464761951663,14.0,3.834214285714286,8.903769841269833,4.362033257840602,Total,Total
20061197,incipient,309.96615420029934,18.0,3.18195,-7.698045267489745,4.783428305560175,Total,Total
20061197,intensification,768.5655329978126,45.0,3.227264,-10.030606995884765,4.744231685171684,Total,Total
20061197,mature,26.542364340319992,3.0,3.458876666666667,52.92052469135812,2.457626327807407,Total,Total
20061198,incipient,557.2577751163433,13.0,2.9366307692307694,-25.073896011396034,11.907217417015882,Total,Total
20061198,intensification,1152.434051751698,25.0,2.7323976,-42.88472222222222,12.80482279724109,Total,Total
20061198,mature,118.14646817220178,3.0,1.4546700000000001,-147.8935185185185,10.939487793722387,Total,Total
20061200,incipient,178.4349471912602,3.0,1.48114,-188.07484567901233,16.52175436956113,Total,Total
20061201,decay,607.412947326613,29.0,2.1965206896551726,-18.0830938697318,5.818131679373688,Total,Total
20061201,incipient,406.84285421729396,18.0,2.3952855555555552,-9.908050411522611,6.278439108291574,Total,Total
20061201,intensification,985.7120030309285,60.0,2.264277,-3.4847608024691437,4.5634814955135585,Total,Total
20061201,mature,292.26627445470865,13.0,2.1075653846153846,28.102742165242145,6.245005864416852,Total,Total
20061203,decay,273.61132070509046,14.0,3.4366928571428574,34.34358465608463,5.428796045735922,Total,Total
20061203,incipient,250.33312300801106,14.0,3.1971171428571425,18.980654761904834,4.9669270438097435,Total,Total
20061203,intensification,1191.3818216097118,39.0,3.4264684615384615,21.163046058879377,8.485625510040682,Total,Total
20061203,mature,18.335325474285888,3.0,3.4177066666666662,-116.36959876543204,1.6977153216931378,Total,Total
20061204,incipient,295.4037011007322,13.0,3.2747976923076925,-12.426994301994347,6.3120448953147905,Total,Total
20061204,intensification,348.5152464229325,18.0,3.4739833333333334,-65.55748456790121,5.3783217040576,Total,Total
20070001,decay,391.6702850952216,14.0,1.7186428571428571,-23.66898148148148,7.77123581538138,Total,Total
20070001,incipient,509.71006645436984,13.0,2.9539653846153846,-38.220263532763575,10.891240736204484,Total,Total
20070001,intensification,1130.3067531169772,28.0,2.6380407142857143,-22.16931216931215,11.21336064600176,Total,Total
20070001,mature,60.54261016366557,3.0,2.012443333333333,-99.0200617283951,5.605797237376442,Total,Total
20070002,decay,874.404772984816,14.0,6.897712142857143,-47.65625000000003,17.34930105128603,Total,Total
20070002,incipient,1848.9322635796052,18.0,8.036312222222222,-84.47209362139904,28.532905302154404,Total,Total
20070002,intensification,4345.736012840719,47.0,7.469717659574468,-69.64612884160759,25.684018988420327,Total,Total
20070002,mature,265.7994767303779,3.0,7.168970000000001,-40.594135802469175,24.611062660220174,Total,Total
20070003,incipient,272.68130402142583,4.0,3.1451675,-36.22974537037038,18.936201668154574,Total,Total
20070003,intensification,1094.3574043638725,11.0,2.2104627272727275,-172.56628787878785,27.635287988986683,Total,Total
20070004,decay,1764.703920731811,17.0,7.443334705882353,-149.44240196078437,28.835031384506717,Total,Total
20070004,incipient,1854.8715932015189,18.0,7.578942777777779,117.35853909465018,28.624561623480233,Total,Total
20070004,intensification,4831.239187678932,47.0,7.676671702127659,33.69582348305754,28.55342309502915,Total,Total
20070004,mature,284.9385139450185,3.0,9.160886666666668,-134.07793209876505,26.383195735649863,Total,Total
20070005,decay,2038.697958701327,14.0,1.9795628571428572,-13.113425925925904,40.45035632343903,Total,Total
20070005,incipient,1746.782549860107,12.0,2.6845515384615384,-7.26948302469133,40.434781246761744,Total,Total
20070005,intensification,3586.125616583621,25.0,2.641724,18.308796296296272,39.84584018426246,Total,Total
20070005,mature,442.404088074772,3.0,2.0893433333333333,-58.1597222222222,40.963341488404815,Total,Total
20070006,incipient,309.7776550156467,9.0,1.599112,-39.13065843621398,9.561038735050824,Total,Total
20070006,intensification,719.591699363546,17.0,1.6228811764705882,46.61220043572984,11.758034303325916,Total,Total
20070007,incipient,268.6104063544086,9.0,1.5690866666666665,-19.985853909464996,8.290444640568168,Total,Total
20070007,intensification,522.2492145272573,16.0,1.590770588235294,9.041521990740721,9.066826641098217,Total,Total
20070008,decay,307.5536167460212,3.0,1.4865466666666667,-128.6265432098765,28.477186735742702,Total,Total
20070008,incipient,777.024932376177,8.0,1.6193466666666667,58.34924768518516,26.980032374172815,Total,Total
20070008,intensification,1385.9379736418966,14.0,1.709232857142857,-2.092427248677244,27.4987693182916,Total,Total
20070008,mature,281.91469849700377,3.0,1.7022766666666669,-21.51234567901236,26.103212823796646,Total,Total
20070009,decay,902.4679234986208,10.0,4.725203,-65.21990740740743,25.068553430517248,Total,Total
20070009,incipient,290.33355020933925,2.0,4.50915,144.7916666666669,40.32410419574156,Total,Total
20070009,intensification,1003.3609891630908,9.0,4.779344444444444,41.943158436214006,30.967931764292928,Total,Total
20070009,mature,336.49101487279955,3.0,4.975336666666666,6.400462962962918,31.156575451185144,Total,Total
20070010,decay,7182.048301421629,53.0,4.808702452830189,20.92330538085255,37.64176258606724,Total,Total
20070010,decay 2,182.38513694144763,13.0,6.465250769230769,-53.1499287749288,3.897118310714693,Total,Total
20070010,incipient,1784.1672191711789,35.0,5.829701142857142,3.300264550264554,14.160057295009358,Total,Total
20070010,intensification,7830.593365609533,99.0,5.2574371,-29.571993078937528,21.97136185636794,Total,Total
20070010,mature,2181.583214421042,31.0,4.088865806451613,8.319145758661904,19.548236688360593,Total,Total
20070011,decay,4081.744387230165,41.0,5.932295365853658,28.02760840108403,27.654094764432013,Total,Total
20070011,incipient,1398.7107677008773,26.0,5.338342692307692,-99.59935897435898,14.943491107915357,Total,Total
20070011,intensification,4860.819719933307,42.0,5.781005581395348,78.2443231922398,32.14827857098748,Total,Total
20070011,mature,1015.5856969959254,13.0,6.809121538461539,-31.637286324786213,21.700549081109518,Total,Total
20070012,decay,285.53739566289875,14.0,1.4061464285714287,2.6951058201058173,5.665424517121007,Total,Total
20070012,incipient,51.522439171104594,5.0,1.658822,-68.34259259259258,2.862357731728033,Total,Total
